epoch,lr-Adam,mae,r2,rmse,step,test_mae,val_mae,val_r2,val_rmse
,0.001,,,,0,,,,
0,,42.711341857910156,-0.39068400859832764,59.4007682800293,19,,,,
0,,54.346431732177734,0.20365887880325317,68.90455627441406,39,,,,
0,,52.49774932861328,-0.049162983894348145,70.06417846679688,59,,,,
0,,,,,75,,41.23543930053711,0.14662422239780426,51.20783233642578
,0.00095,,,,76,,,,
1,,44.42631912231445,0.20343035459518433,54.14812469482422,79,,,,
1,,49.1613655090332,0.04112058877944946,63.479801177978516,99,,,,
1,,45.917293548583984,0.36096394062042236,54.5556526184082,119,,,,
1,,42.27094650268555,-0.14723443984985352,60.64906311035156,139,,,,
1,,,,,151,,40.95157241821289,0.2322716861963272,49.69259262084961
,0.0009025,,,,152,,,,
2,,44.611045837402344,0.11997216939926147,56.7458610534668,159,,,,
2,,42.5142707824707,0.21491020917892456,52.76868438720703,179,,,,
2,,51.555274963378906,0.18301135301589966,63.518184661865234,199,,,,
2,,37.78128433227539,0.15067875385284424,50.66008377075195,219,,,,
2,,,,,227,,40.969173431396484,0.13422608375549316,50.349002838134766
,0.000857375,,,,228,,,,
3,,50.03914260864258,0.11145603656768799,64.56311798095703,239,,,,
3,,40.89349365234375,0.11766105890274048,55.393001556396484,259,,,,
3,,44.20439910888672,-0.05617630481719971,56.73149490356445,279,,,,
3,,37.079307556152344,0.18471384048461914,45.23646926879883,299,,,,
3,,,,,303,,40.71602249145508,0.1276039034128189,50.74184036254883
,0.0008145062499999999,,,,304,,,,
4,,41.09695053100586,0.1288854479789734,56.92374801635742,319,,,,
4,,47.002708435058594,0.13917475938796997,60.21843338012695,339,,,,
4,,35.49678421020508,0.20374011993408203,53.507652282714844,359,,,,
4,,35.32863235473633,0.511371374130249,44.77663040161133,379,,,,
4,,,,,379,,36.178104400634766,0.28994041681289673,46.95209503173828
,0.0007737809374999998,,,,380,,,,
5,,40.7277717590332,0.31656891107559204,49.41153335571289,399,,,,
5,,37.42710876464844,0.39512819051742554,46.44254684448242,419,,,,
5,,48.79948043823242,0.1254778504371643,63.074398040771484,439,,,,
5,,,,,455,,36.77313995361328,0.29013508558273315,48.242801666259766
,0.0007350918906249997,,,,456,,,,
6,,36.151493072509766,0.3544650673866272,46.593116760253906,459,,,,
6,,42.92340087890625,0.03430753946304321,54.540306091308594,479,,,,
6,,38.789485931396484,0.21049803495407104,54.330379486083984,499,,,,
6,,35.46074295043945,0.28579115867614746,47.9107666015625,519,,,,
6,,,,,531,,37.5495491027832,0.32769688963890076,46.11104965209961
,0.0006983372960937497,,,,532,,,,
7,,40.967979431152344,0.09593629837036133,55.64619445800781,539,,,,
7,,41.45128631591797,0.24151116609573364,54.152008056640625,559,,,,
7,,43.87857437133789,0.004079341888427734,59.58197021484375,579,,,,
7,,44.29588317871094,-0.060272216796875,63.720401763916016,599,,,,
7,,,,,607,,36.09075927734375,0.35364601016044617,45.597721099853516
,0.0006634204312890621,,,,608,,,,
8,,43.149749755859375,-0.032264113426208496,58.326107025146484,619,,,,
8,,47.8597526550293,0.10212743282318115,58.93950271606445,639,,,,
8,,49.4378662109375,0.3080396056175232,63.87428283691406,659,,,,
8,,54.58246612548828,0.2445722222328186,63.162574768066406,679,,,,
8,,,,,683,,35.265480041503906,0.3215619921684265,45.724185943603516
,0.000630249409724609,,,,684,,,,
9,,32.715145111083984,0.6043077707290649,41.50260543823242,699,,,,
9,,39.40103530883789,0.25351428985595703,51.21760177612305,719,,,,
9,,38.428199768066406,0.3946468234062195,49.13093948364258,739,,,,
9,,30.359498977661133,0.48797720670700073,41.24089050292969,759,,,,
9,,,,,759,,34.314109802246094,0.3709281384944916,44.3849983215332
,0.0005987369392383785,,,,760,,,,
10,,38.86363220214844,0.2510237693786621,50.27827072143555,779,,,,
10,,32.7005500793457,0.6021933555603027,41.72508239746094,799,,,,
10,,46.175743103027344,0.38535696268081665,59.080284118652344,819,,,,
10,,,,,835,,37.76034927368164,0.19710281491279602,48.65690231323242
,0.0005688000922764595,,,,836,,,,
11,,31.741512298583984,0.13693630695343018,49.17123794555664,839,,,,
11,,42.78874206542969,0.4406059980392456,50.78708267211914,859,,,,
11,,41.661197662353516,0.1787901520729065,56.35249710083008,879,,,,
11,,46.4008903503418,0.382061243057251,55.278900146484375,899,,,,
11,,,,,911,,33.82805633544922,0.3446281850337982,44.344581604003906
,0.0005403600876626365,,,,912,,,,
12,,34.72426986694336,0.24307823181152344,46.80584716796875,919,,,,
12,,44.71697235107422,0.11151790618896484,61.588077545166016,939,,,,
12,,36.95256423950195,0.15319561958312988,48.999000549316406,959,,,,
12,,41.23078155517578,0.4723514914512634,49.70193862915039,979,,,,
12,,,,,987,,32.79559326171875,0.40764638781547546,42.92459487915039
,0.0005133420832795047,,,,988,,,,
13,,51.24952697753906,0.0616077184677124,65.19137573242188,999,,,,
13,,32.932884216308594,0.5269322991371155,40.930824279785156,1019,,,,
13,,37.966880798339844,0.4548579454421997,48.68735885620117,1039,,,,
13,,44.425811767578125,0.24938815832138062,58.32182312011719,1059,,,,
13,,,,,1063,,33.45378112792969,0.3803453743457794,44.1012077331543
,0.00048767497911552944,,,,1064,,,,
14,,48.1705322265625,0.021078050136566162,59.751216888427734,1079,,,,
14,,46.93627166748047,-0.16709887981414795,58.26631164550781,1099,,,,
14,,49.2935676574707,0.06094765663146973,65.26913452148438,1119,,,,
14,,41.327392578125,0.006388425827026367,52.142032623291016,1139,,,,
