epoch,lr-Adam,mae,r2,rmse,step,test_mae,val_mae,val_r2,val_rmse
,0.001,,,,0,,,,
0,,42.57405471801758,-0.17715489864349365,54.65056228637695,19,,,,
0,,51.22004699707031,0.34410691261291504,62.533809661865234,39,,,,
0,,51.262351989746094,0.03487718105316162,67.199462890625,59,,,,
0,,,,,75,,42.079750061035156,0.11261974275112152,51.663509368896484
,0.00095,,,,76,,,,
1,,43.01123046875,0.24764561653137207,52.62386703491211,79,,,,
1,,47.938209533691406,0.07773715257644653,62.255958557128906,99,,,,
1,,41.06739044189453,0.4684876799583435,49.75465774536133,119,,,,
1,,44.16815185546875,-0.19868826866149902,61.99421310424805,139,,,,
1,,,,,151,,39.667938232421875,0.21775907278060913,49.89657211303711
,0.0009025,,,,152,,,,
2,,43.085975646972656,0.2285749912261963,53.129146575927734,159,,,,
2,,41.83517837524414,0.19840127229690552,53.32061004638672,179,,,,
2,,45.895992279052734,0.3461729884147644,56.82265090942383,199,,,,
2,,34.42124557495117,0.25357264280319214,47.49235534667969,219,,,,
2,,,,,227,,36.56684112548828,0.315536767244339,46.40450668334961
,0.000857375,,,,228,,,,
3,,43.99051284790039,0.24574410915374756,59.484580993652344,239,,,,
3,,38.40719223022461,0.11238342523574829,55.55841827392578,259,,,,
3,,45.072486877441406,-0.13854384422302246,58.90211486816406,279,,,,
3,,35.43311309814453,0.31775861978530884,41.381160736083984,299,,,,
3,,,,,303,,38.042633056640625,0.2795259952545166,47.46104431152344
,0.0008145062499999999,,,,304,,,,
4,,36.691673278808594,0.18728774785995483,54.98247146606445,319,,,,
4,,43.56621170043945,0.2578584551811218,55.91332244873047,339,,,,
4,,32.666412353515625,0.2998794913291931,50.17355728149414,359,,,,
4,,31.835308074951172,0.5961786508560181,40.705833435058594,379,,,,
4,,,,,379,,35.54195022583008,0.3616994321346283,44.791770935058594
,0.0007737809374999998,,,,380,,,,
5,,45.957496643066406,0.19564026594161987,53.6051025390625,399,,,,
5,,36.2987060546875,0.39262449741363525,46.53856658935547,419,,,,
5,,47.04389190673828,0.17756837606430054,61.16706085205078,439,,,,
5,,,,,455,,35.72392654418945,0.3374794125556946,46.175174713134766
,0.0007350918906249997,,,,456,,,,
6,,33.883262634277344,0.4466022849082947,43.14004135131836,459,,,,
6,,34.66653060913086,0.36637425422668457,44.178863525390625,479,,,,
6,,41.796531677246094,0.18338918685913086,55.255271911621094,499,,,,
6,,33.04758071899414,0.41515839099884033,43.355045318603516,519,,,,
6,,,,,531,,35.95795440673828,0.3409635126590729,45.41080856323242
,0.0006983372960937497,,,,532,,,,
7,,40.32475280761719,0.18229538202285767,52.921749114990234,539,,,,
7,,38.68196105957031,0.31933218240737915,51.29884719848633,559,,,,
7,,43.0496940612793,-0.08753073215484619,62.262027740478516,579,,,,
7,,49.243953704833984,-0.1841578483581543,67.3402328491211,599,,,,
7,,,,,607,,35.317962646484375,0.34611350297927856,45.05050277709961
,0.0006634204312890621,,,,608,,,,
8,,37.04097366333008,0.2089831829071045,51.05760192871094,619,,,,
8,,43.23339080810547,0.18754428625106812,56.065921783447266,639,,,,
8,,44.730350494384766,0.4278576970100403,58.081451416015625,659,,,,
8,,48.48094177246094,0.34757930040359497,58.69852828979492,679,,,,
8,,,,,683,,33.88197326660156,0.3958395719528198,43.27894592285156
,0.000630249409724609,,,,684,,,,
9,,30.0985107421875,0.6716560125350952,37.806034088134766,699,,,,
