epoch,loss,lr-Adam,r2,rmse,step,val_r2,val_rmse
,,0.01,,,0,,
0,121.35009002685547,,-3.4105725288391113,141.45310974121094,4,,
0,70.02440643310547,,-0.7710798978805542,90.56651306152344,9,,
0,57.257076263427734,,-0.21015655994415283,75.60406494140625,14,,
0,,,,,15,0.13473017513751984,65.61847686767578
,,0.0098,,,16,,
1,52.240264892578125,,0.1983853578567505,65.4559555053711,19,,
1,51.18793487548828,,0.18187636137008667,71.46949768066406,24,,
1,49.6661376953125,,-0.04306769371032715,65.09036254882812,29,,
1,,,,,31,0.2544809579849243,59.276649475097656
,,0.009604,,,32,,
2,49.5477294921875,,0.14417093992233276,64.5880126953125,34,,
2,37.312828063964844,,0.3879470229148865,47.57172393798828,39,,
2,47.05108642578125,,0.24004995822906494,62.36588668823242,44,,
2,,,,,47,0.25600552558898926,59.0416374206543
,,0.009411919999999999,,,48,,
3,41.141014099121094,,0.19520801305770874,55.96528625488281,49,,
3,43.93962097167969,,0.3940016031265259,58.658164978027344,54,,
3,56.14860534667969,,0.00799250602722168,73.5025405883789,59,,
3,,,,,63,0.2864668369293213,57.73765182495117
,,0.009223681599999999,,,64,,
4,42.65226745605469,,0.3433918356895447,58.9730224609375,64,,
4,43.21916580200195,,0.2531164288520813,59.01356887817383,69,,
4,46.913822174072266,,0.20596784353256226,66.64165496826172,74,,
4,44.82084655761719,,0.19220328330993652,68.22676086425781,79,,
4,,,,,79,0.28740543127059937,57.66230773925781
,,0.009039207967999998,,,80,,
5,51.527687072753906,,-0.018100500106811523,79.81259155273438,84,,
5,42.27473831176758,,0.16303402185440063,55.03321838378906,89,,
5,38.627723693847656,,0.38602370023727417,49.24369812011719,94,,
5,,,,,95,0.14496847987174988,64.2217788696289
,,0.008858423808639998,,,96,,
6,36.837074279785156,,0.47107625007629395,49.420166015625,99,,
6,41.26028060913086,,0.2652556300163269,59.78276062011719,104,,
6,39.0578498840332,,0.25463926792144775,51.91453552246094,109,,
6,,,,,111,0.2636421322822571,59.28426742553711
,,0.008681255332467197,,,112,,
7,43.264984130859375,,0.3174054026603699,58.16702651977539,114,,
7,43.14106369018555,,-0.026742219924926758,63.777408599853516,119,,
7,41.945438385009766,,0.3750278353691101,56.77853775024414,124,,
7,,,,,127,0.3140696883201599,57.684810638427734
,,0.008507630225817853,,,128,,
8,42.36149597167969,,0.38185715675354004,56.06657409667969,129,,
8,41.643409729003906,,0.2883925437927246,62.14788818359375,134,,
8,39.09088134765625,,0.37226229906082153,53.324607849121094,139,,
8,,,,,143,0.3621945083141327,54.62114715576172
,,0.008337477621301496,,,144,,
9,42.710365295410156,,0.22860652208328247,64.23634338378906,144,,
9,38.94512939453125,,0.3456472158432007,53.93452072143555,149,,
9,41.39662551879883,,0.25264662504196167,61.25377655029297,154,,
9,39.79901123046875,,0.4899975061416626,50.41294860839844,159,,
9,,,,,159,0.33697327971458435,54.653141021728516
,,0.008170728068875466,,,160,,
10,44.10689163208008,,0.32430392503738403,58.590126037597656,164,,
10,41.56896209716797,,0.3519079089164734,62.2963981628418,169,,
10,38.98749542236328,,0.3894912600517273,51.28666305541992,174,,
10,,,,,175,0.26921769976615906,57.72384262084961
,,0.008007313507497957,,,176,,
11,45.74354553222656,,0.3955967426300049,63.56428146362305,179,,
11,40.934017181396484,,0.36521005630493164,55.251792907714844,184,,
11,49.41716003417969,,0.25845491886138916,68.93572235107422,189,,
11,,,,,191,0.21046774089336395,60.405235290527344
,,0.007847167237347998,,,192,,
12,37.45417022705078,,0.3767378330230713,53.84213638305664,194,,
12,37.01329040527344,,0.4956762194633484,47.26572799682617,199,,
12,38.793785095214844,,0.4174426794052124,54.94325637817383,204,,
