,smiles,MP
67,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30.6
68,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,38.7
69,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,51.2
70,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,46.2
71,CCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,225.4
72,CCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,79.9
73,CCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,139.5
74,CCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,140.8
75,CCCCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,150.2
76,CCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,17.9
77,CCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,46.7
78,CCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,7.18
79,CCCCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,0.0
80,CCCCCCCC[N+](C)(C)C.[Br-],215.9
81,CCCCCCCCCC[N+](C)(C)C.[Br-],235.6
82,CC[N+]1(C)CCC(O)CC1.[Br-],293.5
83,CCCC[N+]1(C)CCC(O)CC1.[Br-],150.5
84,CCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],102.5
85,CCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],146.5
86,CCC[NH2+]CCC.O=S(=O)([O-])C(F)(F)F,136.0
87,CC(=O)[O-].CCC[NH2+]CCC,13.0
88,CCCC[NH2+]CCCC.O=S(=O)([O-])O,130.9
89,CCCC[NH2+]CCCC.O=S(=O)([O-])C(F)(F)F,140.0
90,CCCC[NH2+]CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42.6
91,CCCC[NH2+]CCCC.O=P([O-])(O)O,98.0
92,C[NH+](C)C.O=S(=O)([O-])C(F)(F)F,150.0
93,C[NH+](C)C.O=[N+]([O-])[O-],155.0
94,CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,32.0
95,CC[NH+](CC)CC.O=[N+]([O-])[O-],115.0
96,CCC[NH+](CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,49.0
97,CCCC[NH+](CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,128.0
98,CCCC[NH+](CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,40.0
99,OCC[NH+](CCO)CCO.[F-],67.0
100,O=C([O-])CC(=O)O.OCC[NH+](CCO)CCO,85.0
101,OCC[NH+](CCO)CCO.[Br-],180.0
102,Cn1cc[nH+]c1.[Cl-],72.0
103,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],157.0
104,Cn1cc[nH+]c1.F[B-](F)(F)F,37.0
105,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9.0
106,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,11.0
107,Cn1cc[nH+]c1.O=[N+]([O-])[O-],70.0
108,Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,84.0
109,Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F,116.0
110,Cn1cc[nH+]c1.O=C([O-])C(F)(F)F,51.0
111,CCn1cc[nH+]c1.[Cl-],58.0
112,CCn1cc[nH+]c1.[Br-],60.0
113,CCn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],21.0
114,CCn1cc[nH+]c1.O=[N+]([O-])[O-],31.0
115,CCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,8.0
