epoch,loss,lr-Adam,r2,rmse,step
,,0.001,,,0
0,0.6931301951408386,,-0.22082984447479248,0.9875271916389465,4
0,0.7436597347259521,,0.08207756280899048,1.0356348752975464,9
0,0.6149914860725403,,-0.1804029941558838,0.7791776061058044,14
0,0.8000621795654297,,-0.015040755271911621,1.067913293838501,19
0,0.989632248878479,,-0.13552892208099365,1.208202838897705,24
0,0.6720419526100159,,0.19136053323745728,0.8559795022010803,29
0,0.688073456287384,,-0.35708940029144287,0.8147986531257629,34
0,0.9383190870285034,,-0.3637354373931885,1.0564638376235962,39
0,0.7431585788726807,,0.03764694929122925,0.9543118476867676,44
0,1.0259151458740234,,0.11179620027542114,1.2994738817214966,49
0,0.567373514175415,,-0.02765822410583496,0.7876414060592651,54
