epoch,lr-Adam,mae,r2,rmse,step,test_mae,val_mae,val_r2,val_rmse
,0.0001,,,,0,,,,
0,,86.68992614746094,-1.7988648414611816,102.7088394165039,19,,,,
0,,89.38855743408203,-1.751250982284546,109.89424896240234,39,,,,
0,,61.33917999267578,-1.4413809776306152,74.9744873046875,59,,,,
0,,,,,75,,66.24391174316406,-1.1043418645858765,83.39759826660156
,0.0001,,,,76,,,,
1,,67.46874237060547,-0.7455037832260132,89.41632843017578,79,,,,
1,,40.21749496459961,0.24735474586486816,50.19253158569336,99,,,,
1,,34.56884765625,0.306831955909729,43.526222229003906,119,,,,
1,,45.764129638671875,0.35681062936782837,55.876224517822266,139,,,,
1,,,,,151,,44.47654724121094,0.09562012553215027,52.73587417602539
,0.0001,,,,152,,,,
2,,60.95557403564453,-0.000766754150390625,72.75749969482422,159,,,,
2,,50.84568786621094,-0.10705709457397461,63.95740509033203,179,,,,
2,,28.119491577148438,0.3032628893852234,37.04558563232422,199,,,,
2,,35.11057662963867,0.14760655164718628,45.44477462768555,219,,,,
2,,,,,227,,44.77727508544922,0.02516268379986286,53.429840087890625
,0.0001,,,,228,,,,
3,,51.39833068847656,-0.15421080589294434,64.80976867675781,239,,,,
3,,54.16026306152344,-0.10287153720855713,75.0180435180664,259,,,,
3,,44.03957748413086,0.2184988260269165,56.48248291015625,279,,,,
3,,53.31044006347656,-0.07438826560974121,73.00443267822266,299,,,,
3,,,,,303,,41.77201461791992,0.1650961935520172,50.054725646972656
,0.0001,,,,304,,,,
4,,41.905731201171875,0.37664633989334106,56.21784210205078,319,,,,
4,,41.6249885559082,0.08620786666870117,59.31339645385742,339,,,,
4,,52.176025390625,0.0457226037979126,69.78873443603516,359,,,,
4,,40.10079574584961,0.04025369882583618,57.02813720703125,379,,,,
4,,,,,379,,43.3447265625,0.044385094195604324,52.57773971557617
,0.0001,,,,380,,,,
5,,34.491214752197266,0.4107877016067505,44.107181549072266,399,,,,
5,,43.828590393066406,0.28430014848709106,57.99104309082031,419,,,,
