epoch,lr-Adam,mae,r2,rmse,step,test_mae,val_mae,val_r2,val_rmse
,0.001,,,,0,,,,
0,,104.72659301757812,-0.6851963996887207,132.07899475097656,19,,,,
0,,66.61815643310547,-0.11104965209960938,87.78372955322266,39,,,,
0,,61.0469856262207,-0.12089967727661133,91.78731536865234,59,,,,
0,,64.60292053222656,0.02574920654296875,86.2674789428711,79,,,,
0,,,,,91,,71.4587173461914,-0.062049079686403275,98.49242401123047
,0.00095,,,,92,,,,
1,,83.39903259277344,-0.17535579204559326,110.8878173828125,99,,,,
1,,55.075626373291016,-0.14887845516204834,76.44898986816406,119,,,,
1,,93.94501495361328,-0.30596697330474854,128.2220001220703,139,,,,
1,,75.25888061523438,-0.03196394443511963,92.30945587158203,159,,,,
1,,66.24674224853516,-0.018996715545654297,87.95687103271484,179,,,,
1,,,,,183,,70.43407440185547,-0.022357987239956856,96.58626556396484
,0.0009025,,,,184,,,,
2,,80.84336853027344,-0.07532846927642822,110.8578872680664,199,,,,
2,,92.01864624023438,-0.3267408609390259,123.16387939453125,219,,,,
2,,64.82894134521484,-0.074249267578125,88.11949920654297,239,,,,
2,,73.33905029296875,-0.05661749839782715,106.99014282226562,259,,,,
2,,,,,275,,68.39969635009766,-0.04153497517108917,97.97018432617188
,0.000857375,,,,276,,,,
3,,114.69593048095703,-0.5866297483444214,151.36216735839844,279,,,,
3,,81.83969116210938,-0.021731019020080566,123.64281463623047,299,,,,
3,,76.6013412475586,-0.012505412101745605,109.1553955078125,319,,,,
3,,67.56463623046875,0.1175917387008667,92.37588500976562,339,,,,
3,,62.799015045166016,0.09767913818359375,94.27808380126953,359,,,,
3,,,,,367,,71.80107879638672,-0.08347511291503906,98.73577117919922
,0.0008145062499999999,,,,368,,,,
4,,63.50398254394531,-0.13349127769470215,96.62564849853516,379,,,,
4,,69.44561767578125,0.03579837083816528,102.23406982421875,399,,,,
4,,67.75244903564453,-0.01861131191253662,97.09138488769531,419,,,,
4,,76.58067321777344,0.05981457233428955,113.73016357421875,439,,,,
