epoch,lr-Adam,mae,r2,rmse,step
,0.001,,,,0
0,,108.3353271484375,-1.1170861721038818,130.60601806640625,4
0,,137.5411376953125,-1.316267967224121,172.31809997558594,9
0,,117.65706634521484,-1.076448917388916,148.41448974609375,14
0,,100.22978210449219,-0.9721945524215698,123.03530883789062,19
0,,122.20183563232422,-0.9782085418701172,148.9150390625,24
0,,84.17454528808594,-0.6503353118896484,104.01679992675781,29
0,,96.66722106933594,-0.421664834022522,111.44226837158203,34
0,,86.92884063720703,-0.8571155071258545,125.96468353271484,39
0,,54.70941162109375,0.038144826889038086,73.35809326171875,44
0,,112.05635833740234,-0.6990283727645874,154.34793090820312,49
0,,78.09187316894531,-0.3073767423629761,112.93848419189453,54
0,,76.16445922851562,-0.34069907665252686,103.51483917236328,59
0,,57.74427032470703,-0.43446671962738037,91.69835662841797,64
0,,115.66500091552734,-0.29640257358551025,145.3507537841797,69
0,,66.40717315673828,-0.4228724241256714,85.1475601196289,74
0,,65.22013092041016,-0.17907774448394775,98.8134765625,79
0,,96.20540618896484,-0.07583153247833252,123.98553466796875,84
0,,85.49146270751953,-0.3932892084121704,126.99545288085938,89
0,,60.443641662597656,-0.09007906913757324,80.66565704345703,94
0,,44.333290100097656,0.1257064938545227,52.88080978393555,99
0,,104.97296905517578,-1.063777208328247,129.93533325195312,104
0,,75.34048461914062,-0.26314032077789307,103.22917175292969,109
0,,99.30599212646484,-0.2644449472427368,134.54344177246094,114
0,,69.77433776855469,-0.15769004821777344,91.94042205810547,119
0,,55.31078338623047,0.1890319585800171,72.00696563720703,124
0,,53.61436462402344,0.23692119121551514,63.89139938354492,129
0,,64.04779052734375,0.3738611936569214,79.6765365600586,134
0,,76.44325256347656,-0.29546332359313965,112.34822082519531,139
0,,51.6054801940918,0.14935964345932007,76.19638061523438,144
