,MP,error,smiles
50,55.97000000000003,0.5,C[N+](C)(C)CCO.O=C([O-])c1cccnc1
51,61.950000000000045,1.0,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
52,54.950000000000045,1.0,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
53,45.950000000000045,1.0,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
54,67.95000000000005,1.0,CCCCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
55,-4.149999999999977,1.0,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F
56,106.85000000000002,1.0,O=S(=O)(F)[N-]S(=O)(=O)F.[K+]
57,166.3,0.5,CO[C@H](C(=O)[O-])c1ccccc1.C[C@H]([NH3+])C1CCCCC1
58,162.90000000000003,0.5,CO[C@H](C(=O)[O-])c1ccccc1.C[C@H]([NH3+])C1CCCCC1
59,187.40000000000003,0.5,CO[C@H](C(=O)[O-])c1ccccc1.C[C@@H]([NH3+])C1CCCCC1
60,57.950000000000045,2.9,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-]
61,-4.849999999999966,2.3,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
62,-11.949999999999989,2.3,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
63,120.95000000000005,2.0,Cc1ccc[n+](CCCOc2ccccc2)c1.[Br-]
64,116.95000000000005,2.0,Cc1ccc[n+](CCOc2ccccc2)c1.[Br-]
65,134.95000000000005,2.0,Cc1cc[n+](CCCOc2ccccc2)cc1.[Br-]
66,134.95000000000005,2.0,CN(C)c1cc[n+](CCCOc2ccccc2)cc1.[Br-]
67,160.45000000000005,2.0,[Br-].c1ccc(OCC[n+]2ccccn2)cc1
68,166.95000000000005,2.0,Cc1cccc[n+]1CCCOc1ccccc1.[Br-]
69,118.95000000000005,2.0,Cc1n(C)cc[n+]1CCOc1ccccc1.[Br-]
70,97.95000000000005,2.0,Cc1n(C)cc[n+]1CCCOc1ccccc1.[Br-]
71,178.95000000000005,2.0,CN(C)c1cc[n+](CCOc2ccccc2)cc1.[Br-]
72,148.95000000000005,2.0,Cc1cccc[n+]1CCOc1ccccc1.[Br-]
